date,close
2015-01-02,2191.06005859375
2015-01-05,2128.679931640625
2015-01-07,2138.39990234375
2015-01-08,2169.919921875
2015-01-09,2147.919921875
2015-01-12,2145.449951171875
2015-01-13,2156.419921875
2015-01-14,2122.080078125
2015-01-15,2141.0
2015-01-16,2143.360107421875
2015-01-19,2148.139892578125
2015-01-20,2170.239990234375
2015-01-21,2191.919921875
2015-01-22,2230.090087890625
2015-01-23,2227.64990234375
2015-01-26,2252.139892578125
2015-01-27,2223.72998046875
2015-01-28,2194.139892578125
2015-01-29,2187.1298828125
2015-01-30,2191.110107421875
2015-02-02,2217.81005859375
2015-02-03,2263.070068359375
2015-02-04,2252.719970703125
2015-02-05,2253.3701171875
2015-02-06,2274.820068359375
2015-02-09,2287.739990234375
2015-02-10,2327.219970703125
2015-02-11,2321.239990234375
2015-02-12,2375.85009765625
2015-02-13,2399.590087890625
2015-02-16,2401.949951171875
2015-02-17,2402.7900390625
2015-02-18,2427.760009765625
2015-02-19,2426.050048828125
2015-02-20,2450.93994140625
2015-02-23,2457.320068359375
2015-02-24,2472.070068359375
2015-02-25,2485.31005859375
2015-02-26,2477.580078125
2015-02-27,2495.2099609375
2015-03-02,2480.60009765625
2015-03-03,2476.320068359375
2015-03-04,2465.530029296875
2015-03-05,2506.820068359375
2015-03-06,2548.300048828125
2015-03-09,2537.52001953125
2015-03-10,2480.5400390625
2015-03-11,2505.9599609375
2015-03-12,2506.75
2015-03-13,2517.159912109375
2015-03-16,2523.530029296875
2015-03-17,2500.510009765625
2015-03-18,2481.81005859375
2015-03-19,2510.18994140625
2015-03-20,2528.60009765625
2015-03-23,2532.409912109375
2015-03-24,2537.75
2015-03-25,2523.39990234375
2015-03-26,2481.6298828125
2015-03-27,2464.969970703125
2015-03-30,2516.1298828125
2015-03-31,2509.820068359375
2015-04-01,2541.550048828125
2015-04-02,2545.68994140625
2015-04-07,2581.93994140625
2015-04-08,2590.419921875
2015-04-09,2614.580078125
2015-04-10,2620.52001953125
2015-04-13,2646.7099609375
2015-04-14,2628.139892578125
2015-04-15,2650.97998046875
2015-04-16,2634.989990234375
2015-04-17,2589.56005859375
2015-04-20,2608.300048828125
2015-04-21,2632.260009765625
2015-04-22,2617.2900390625
2015-04-23,2613.179931640625
2015-04-24,2637.85009765625
2015-04-27,2661.699951171875
2015-04-28,2646.669921875
2015-04-29,2586.510009765625
2015-04-30,2586.330078125
2015-05-04,2614.090087890625
2015-05-05,2583.929931640625
2015-05-06,2571.260009765625
2015-05-07,2615.330078125
2015-05-08,2653.22998046875
2015-05-11,2653.800048828125
2015-05-12,2633.030029296875
2015-05-13,2659.570068359375
2015-05-15,2681.43994140625
2015-05-18,2637.550048828125
2015-05-19,2642.56005859375
2015-05-20,2652.39990234375
2015-05-21,2639.919921875
2015-05-22,2640.719970703125
2015-05-26,2596.7900390625
2015-05-27,2614.6298828125
2015-05-28,2576.429931640625
2015-05-29,2568.760009765625
2015-06-01,2554.280029296875
2015-06-02,2578.590087890625
2015-06-03,2612.35009765625
2015-06-05,2544.669921875
2015-06-08,2500.97998046875
2015-06-09,2502.800048828125
2015-06-10,2546.409912109375
2015-06-11,2527.340087890625
2015-06-12,2494.030029296875
2015-06-15,2434.300048828125
2015-06-16,2451.699951171875
2015-06-17,2428.719970703125
2015-06-18,2443.39990234375
2015-06-19,2431.02001953125
2015-06-22,2504.489990234375
2015-06-23,2519.050048828125
2015-06-24,2512.830078125
2015-06-25,2499.469970703125
2015-06-26,2509.56005859375
2015-06-29,2427.199951171875
2015-06-30,2411.77001953125
2015-07-01,2461.159912109375
2015-07-02,2437.6298828125
2015-07-03,2433.239990234375
2015-07-06,2374.06005859375
2015-07-07,2330.840087890625
2015-07-08,2360.0400390625
2015-07-09,2411.97998046875
2015-07-10,2464.75
2015-07-13,2513.35009765625
2015-07-14,2506.719970703125
2015-07-15,2498.449951171875
2015-07-16,2532.139892578125
2015-07-17,2533.43994140625
2015-07-20,2552.31005859375
2015-07-21,2541.510009765625
2015-07-22,2521.610107421875
2015-07-23,2524.31005859375
2015-07-24,2507.97998046875
2015-07-27,2455.530029296875
2015-07-28,2480.239990234375
2015-07-29,2481.97998046875
2015-07-30,2481.280029296875
2015-07-31,2499.449951171875
2015-08-03,2499.43994140625
2015-08-04,2489.760009765625
2015-08-05,2501.760009765625
2015-08-06,2481.72998046875
2015-08-07,2487.9599609375
2015-08-10,2497.010009765625
2015-08-11,2468.469970703125
2015-08-12,2414.3701171875
2015-08-13,2452.840087890625
2015-08-14,2453.60009765625
2015-08-17,2450.72998046875
2015-08-18,2462.159912109375
2015-08-19,2443.7099609375
2015-08-20,2395.1201171875
2015-08-21,2316.179931640625
2015-08-24,2207.68994140625
2015-08-25,2287.699951171875
2015-08-26,2266.669921875
2015-08-27,2349.449951171875
2015-08-28,2335.889892578125
2015-08-31,2325.110107421875
2015-09-01,2278.110107421875
2015-09-02,2261.820068359375
2015-09-03,2303.669921875
2015-09-04,2251.7099609375
2015-09-07,2256.219970703125
2015-09-08,2282.8701171875
2015-09-09,2298.27001953125
2015-09-10,2281.31005859375
2015-09-11,2266.0400390625
2015-09-14,2261.3701171875
2015-09-15,2272.35009765625
2015-09-16,2292.800048828125
2015-09-17,2290.429931640625
2015-09-18,2240.830078125
2015-09-21,2244.929931640625
2015-09-22,2200.090087890625
2015-09-23,2205.070068359375
2015-09-24,2172.489990234375
2015-09-25,2206.669921875
2015-09-28,2168.4599609375
2015-09-29,2187.679931640625
2015-09-30,2229.489990234375
2015-10-01,2228.10009765625
2015-10-02,2236.14990234375
2015-10-05,2294.22998046875
2015-10-06,2324.570068359375
2015-10-07,2350.10009765625
2015-10-08,2347.8798828125
2015-10-09,2361.800048828125
2015-10-12,2357.909912109375
2015-10-13,2314.64990234375
2015-10-14,2334.219970703125
2015-10-15,2364.830078125
2015-10-16,2386.2900390625
2015-10-19,2378.31005859375
2015-10-20,2384.2099609375
2015-10-21,2412.39990234375
2015-10-22,2461.93994140625
2015-10-23,2467.64990234375
2015-10-27,2410.679931640625
2015-10-28,2435.489990234375
2015-10-29,2422.929931640625
2015-10-30,2420.659912109375
2015-11-02,2433.52001953125
2015-11-03,2443.5400390625
2015-11-04,2432.56005859375
2015-11-05,2421.669921875
2015-11-06,2493.719970703125
2015-11-09,2476.6201171875
2015-11-10,2476.5
2015-11-11,2466.659912109375
2015-11-12,2391.5400390625
2015-11-13,2398.43994140625
2015-11-16,2401.989990234375
2015-11-17,2445.3701171875
2015-11-18,2465.1201171875
2015-11-19,2490.7900390625
2015-11-20,2483.699951171875
2015-11-23,2493.989990234375
2015-11-24,2454.010009765625
2015-11-25,2441.0
2015-11-26,2469.159912109375
2015-11-27,2473.989990234375
2015-11-30,2488.6201171875
2015-12-01,2501.60009765625
2015-12-02,2488.199951171875
2015-12-03,2453.9599609375
2015-12-04,2448.52001953125
2015-12-07,2430.35009765625
2015-12-09,2373.39990234375
2015-12-10,2387.75
2015-12-11,2339.860107421875
2015-12-14,2292.320068359375
2015-12-15,2352.429931640625
2015-12-16,2388.89990234375
2015-12-17,2366.18994140625
2015-12-18,2356.860107421875
2015-12-21,2343.5
2015-12-22,2365.0400390625
2015-12-23,2401.18994140625
2015-12-28,2395.469970703125
2015-12-29,2396.27001953125
2015-12-30,2396.93994140625
2016-01-04,2348.31005859375
2016-01-05,2362.72998046875
2016-01-07,2297.6298828125
2016-01-08,2221.090087890625
2016-01-11,2200.989990234375
2016-01-12,2216.7099609375
2016-01-13,2204.050048828125
2016-01-14,2169.89990234375
2016-01-15,2113.159912109375
2016-01-18,2070.77001953125
2016-01-19,2114.47998046875
2016-01-20,2043.4000244140625
2016-01-21,2081.760009765625
2016-01-22,2138.89990234375
2016-01-25,2138.889892578125
2016-01-26,2158.360107421875
2016-01-27,2137.9599609375
2016-01-28,2129.449951171875
2016-01-29,2162.419921875
2016-02-01,2140.9599609375
2016-02-02,2129.860107421875
2016-02-03,2092.090087890625
2016-02-04,2113.89990234375
2016-02-05,2129.93994140625
2016-02-08,2026.4000244140625
2016-02-09,1972.030029296875
2016-02-10,2001.5999755859375
2016-02-11,1957.050048828125
2016-02-12,2033.47998046875
2016-02-15,2099.27001953125
2016-02-16,2084.7099609375
2016-02-17,2162.840087890625
2016-02-18,2114.139892578125
2016-02-19,2124.840087890625
2016-02-22,2177.820068359375
2016-02-23,2134.989990234375
2016-02-24,2100.280029296875
2016-02-25,2120.0400390625
2016-02-26,2145.8798828125
2016-02-29,2154.340087890625
2016-03-01,2191.919921875
2016-03-02,2206.989990234375
2016-03-03,2211.590087890625
2016-03-04,2230.5
2016-03-07,2232.719970703125
2016-03-08,2236.969970703125
2016-03-09,2247.909912109375
2016-03-10,2228.929931640625
2016-03-11,2284.02001953125
2016-03-14,2323.530029296875
2016-03-15,2298.68994140625
2016-03-16,2299.610107421875
2016-03-17,2297.14990234375
2016-03-18,2316.800048828125
2016-03-21,2298.77001953125
2016-03-22,2292.2900390625
2016-03-23,2267.610107421875
2016-03-24,2221.419921875
2016-03-29,2228.330078125
2016-03-30,2275.080078125
2016-03-31,2270.3798828125
2016-04-01,2266.550048828125
2016-04-04,2252.860107421875
2016-04-05,2227.219970703125
2016-04-06,2239.60009765625
2016-04-07,2210.179931640625
2016-04-08,2241.169921875
2016-04-11,2246.610107421875
2016-04-12,2251.169921875
2016-04-13,2293.919921875
2016-04-14,2318.050048828125
2016-04-15,2303.64990234375
