date,PX
2015-12-21,928.41
2015-12-22,929.83
2015-12-23,945.49
2015-12-28,950.21
2015-12-29,955.74
2015-12-30,956.33
2016-01-04,938.23
2016-01-05,941.07
2016-01-06,936.17
2016-01-07,916.09
2016-01-08,924.04
2016-01-11,918.64
2016-01-12,919.62
2016-01-13,914.73
2016-01-14,898.62
2016-01-15,881.12
2016-01-18,867.85
2016-01-19,873.98
2016-01-20,855.92
2016-01-21,859.87
2016-01-22,886.77
2016-01-25,883.85
2016-01-26,892.81
2016-01-27,902.56
2016-01-28,909.43
2016-01-29,921.07
2016-02-01,914.71
2016-02-02,902.2
2016-02-03,886.72
2016-02-04,897.48
2016-02-05,904.79
2016-02-08,872.53
2016-02-09,852.97
2016-02-10,863.74
2016-02-11,847.23
2016-02-12,845.92
2016-02-15,875.81
2016-02-16,861.37
2016-02-17,877.55
2016-02-18,878.51
2016-02-19,871.22
2016-02-22,886.64
2016-02-23,879.15
2016-02-24,855.43
2016-02-25,865.67
2016-02-26,865.37
2016-02-29,857.61
2016-03-01,871.89
2016-03-02,879.32
2016-03-03,883.06
2016-03-04,889.69
2016-03-07,888.01
2016-03-08,892.56
2016-03-09,886.71
2016-03-10,896.15
2016-03-11,907.56
2016-03-14,913.94
2016-03-15,909.99
2016-03-16,910.2
2016-03-17,898.32
2016-03-18,914.85
2016-03-21,908.44
2016-03-22,901.14
2016-03-23,890.47
2016-03-24,888.93
2016-03-29,893.17
2016-03-30,900.82
2016-03-31,899.91
2016-04-01,892.92
2016-04-04,896.85
2016-04-05,889.53
2016-04-06,884.39
2016-04-07,884.3
2016-04-08,899.33
2016-04-11,893.56
2016-04-12,887.01
2016-04-13,895.62
2016-04-14,895.62
2016-04-15,906.63
2016-04-18,904.65
2016-04-19,915.23
2016-04-20,916.94
2016-04-21,918.6
2016-04-22,919.6
2016-04-25,912.35
2016-04-26,914.89
2016-04-27,913.71
2016-04-28,909.01
2016-04-29,916.04
2016-05-02,909.34
2016-05-03,896.67
2016-05-04,886.94
2016-05-05,886.83
2016-05-06,867.79
2016-05-09,864.2
2016-05-10,869.46
2016-05-11,866.93
2016-05-12,871.43
2016-05-13,873.87
2016-05-16,882.66
2016-05-17,869.31
2016-05-18,873.38
2016-05-19,873.17
2016-05-20,875.19
2016-05-23,874.83
2016-05-24,876.22
2016-05-25,890.28
2016-05-26,891.3
2016-05-27,890.47
2016-05-30,892.68
2016-05-31,893.76
2016-06-01,888.21
2016-06-02,888.41
2016-06-03,879.51
2016-06-06,892.27
2016-06-07,895.2
2016-06-08,874.05
2016-06-09,867.79
2016-06-10,840.05
2016-06-13,818.38
2016-06-14,808.2
2016-06-15,817.58
2016-06-16,815.86
2016-06-17,831.21
2016-06-20,838.94
2016-06-21,842.31
2016-06-22,852.05
2016-06-23,855.26
2016-06-24,819.58
2016-06-27,790.09
2016-06-28,806.43
2016-06-29,808.21
2016-06-30,816.91
2016-07-01,824.43
2016-07-04,826.29
2016-07-07,814.58
2016-07-08,811.26
2016-07-11,820.31
2016-07-12,827.31
2016-07-13,826.17
2016-07-14,844.9
2016-07-15,863.55
2016-07-18,870.26
2016-07-19,876.21
2016-07-20,882.07
2016-07-21,887.5
2016-07-22,891.37
2016-07-25,892.44
2016-07-26,889.42
2016-07-27,893.42
2016-07-28,887.26
2016-07-29,881.74
2016-08-01,880.08
2016-08-02,876.28
2016-08-03,857.86
2016-08-04,856.1
2016-08-05,849.79
2016-08-08,862.37
2016-08-09,856.79
2016-08-10,859.18
2016-08-11,861.2
2016-08-12,863.87
2016-08-15,861.3
2016-08-16,856.3
2016-08-17,850.8
2016-08-18,850.98
2016-08-19,847.6
2016-08-22,846.29
2016-08-23,850.72
2016-08-24,858.06
2016-08-25,855.79
2016-08-26,853.19
2016-08-29,852.94
2016-08-30,858.83
2016-08-31,859.14
2016-09-01,866.37
2016-09-02,875.71
2016-09-05,880.84
2016-09-06,882.42
2016-09-07,881.41
2016-09-08,884.8
2016-09-09,879.83
2016-09-12,870.08
2016-09-13,868.29
2016-09-14,867.47
2016-09-15,864.48
2016-09-16,860.81
2016-09-19,861.83
2016-09-20,865.53
2016-09-21,864.77
2016-09-22,875.87
2016-09-23,874.05
2016-09-26,869.1
2016-09-27,866.34
2016-09-29,874.57
2016-09-30,863.58
2016-10-03,868.59
2016-10-04,875.13
2016-10-05,881.09
2016-10-06,889.38
2016-10-07,885.72
2016-10-10,891.0
2016-10-11,894.57
2016-10-12,890.74
2016-10-13,886.64
2016-10-14,899.16
2016-10-17,906.97
2016-10-18,915.33
2016-10-19,922.5
2016-10-20,921.35
2016-10-21,928.28
2016-10-24,935.36
2016-10-25,934.05
2016-10-26,919.18
2016-10-27,925.46
2016-10-31,921.78
2016-11-01,908.8
2016-11-02,902.89
2016-11-03,909.66
2016-11-04,893.82
2016-11-07,899.0
2016-11-08,897.95
2016-11-09,897.76
2016-11-10,901.69
2016-11-11,900.99
2016-11-14,905.11
2016-11-15,904.68
2016-11-16,889.62
2016-11-18,884.41
2016-11-21,884.0
2016-11-22,892.29
2016-11-23,888.72
2016-11-24,886.31
2016-11-25,888.14
2016-11-28,885.13
2016-11-29,879.33
2016-11-30,881.22
2016-12-01,885.05
2016-12-02,887.2
2016-12-05,886.66
2016-12-06,894.86
2016-12-07,894.24
2016-12-08,899.57
2016-12-09,900.71
2016-12-12,905.43
2016-12-13,911.09
2016-12-14,903.02
2016-12-15,911.98
2016-12-16,917.59
2016-12-19,912.46
2016-12-20,917.48
2016-12-21,917.55
2016-12-22,917.53
2016-12-23,916.75
2016-12-27,920.35
2016-12-28,923.54
2016-12-29,919.58
2016-12-30,921.61
2017-01-02,924.04
2017-01-03,932.86
2017-01-04,934.21
2017-01-05,934.07
2017-01-06,937.52
2017-01-09,935.72
2017-01-10,926.08
2017-01-11,927.93
2017-01-12,928.89
2017-01-13,930.42
2017-01-16,927.14
2017-01-17,923.27
2017-01-18,925.93
2017-01-19,928.71
2017-01-20,928.53
2017-01-23,926.79
2017-01-24,930.13
2017-01-25,938.16
2017-01-26,938.08
2017-01-27,936.89
2017-01-30,930.82
2017-01-31,932.46
2017-02-01,938.23
2017-02-02,940.91
2017-02-03,943.99
2017-02-06,942.06
2017-02-07,947.25
2017-02-08,955.21
2017-02-09,953.46
2017-02-10,964.31
2017-02-13,972.19
2017-02-14,966.32
2017-02-15,972.83
2017-02-16,971.08
2017-02-17,970.01
2017-02-20,973.32
2017-02-21,974.47
2017-02-22,972.72
2017-02-23,972.2
2017-02-24,960.05
2017-02-27,958.61
2017-02-28,953.92
2017-03-01,971.95
2017-03-02,977.16
2017-03-03,974.23
2017-03-06,975.57
2017-03-07,971.7
2017-03-08,972.24
2017-03-09,974.01
2017-03-10,972.31
2017-03-13,977.91
2017-03-14,978.59
2017-03-15,979.19
2017-03-16,980.78
2017-03-17,980.79
2017-03-20,979.81
2017-03-21,982.72
2017-03-22,978.91
2017-03-23,980.76
2017-03-24,982.53
2017-03-27,979.45
2017-03-28,983.22
2017-03-29,982.71
2017-03-30,983.67
2017-03-31,981.15
2017-04-03,985.2
2017-04-04,981.03
2017-04-05,980.78
2017-04-06,979.97
2017-04-07,984.05
2017-04-10,988.83
2017-04-11,992.95
2017-04-12,983.61
2017-04-13,976.52
2017-04-18,968.06
2017-04-19,967.54
2017-04-20,975.19
2017-04-21,977.87
2017-04-24,992.52
2017-04-25,992.98
2017-04-26,998.74
2017-04-27,1002.12
2017-04-28,1007.87
