date,adj_close
2015-01-02,235.1
2015-01-05,224.3
2015-01-06,227.0
2015-01-07,223.5
2015-01-08,229.0
2015-01-09,231.0
2015-01-12,230.2
2015-01-13,235.5
2015-01-14,232.0
2015-01-15,225.5
2015-01-16,228.9
2015-01-19,229.1
2015-01-20,228.0
2015-01-21,229.0
2015-01-22,217.0
2015-01-23,214.5
2015-01-26,219.6
2015-01-27,225.0
2015-01-28,221.0
2015-01-29,213.0
2015-01-30,217.3
2015-02-02,221.6
2015-02-03,223.1
2015-02-04,223.7
2015-02-05,227.0
2015-02-06,225.0
2015-02-09,225.6
2015-02-10,222.5
2015-02-11,220.7
2015-02-12,221.7
2015-02-13,219.5
2015-02-16,216.4
2015-02-17,212.2
2015-02-18,215.9
2015-02-19,212.5
2015-02-20,211.7
2015-02-23,216.0
2015-02-24,215.7
2015-02-25,215.2
2015-02-26,217.0
2015-02-27,208.0
2015-03-02,187.0
2015-03-03,177.85
2015-03-04,183.0
2015-03-05,186.0
2015-03-06,190.0
2015-03-09,189.1
2015-03-10,183.1
2015-03-11,194.2
2015-03-12,198.4
2015-03-13,206.5
2015-03-16,201.8
2015-03-17,202.1
2015-03-18,196.0
2015-03-19,200.0
2015-03-20,205.3
2015-03-23,200.9
2015-03-24,204.0
2015-03-25,201.0
2015-03-26,200.5
2015-03-27,203.5
2015-03-30,201.8
2015-03-31,205.1
2015-04-01,202.1
2015-04-02,203.0
2015-04-07,202.7
2015-04-08,203.9
2015-04-09,208.4
2015-04-10,207.0
2015-04-13,206.5
2015-04-14,205.0
2015-04-15,218.0
2015-04-16,219.9
2015-04-17,217.2
2015-04-20,216.8
2015-04-21,217.5
2015-04-22,215.5
2015-04-23,215.3
2015-04-24,220.0
2015-04-27,202.4
2015-04-28,195.3
2015-04-29,195.0
2015-04-30,200.7
2015-05-04,201.6
2015-05-05,205.0
2015-05-06,206.1
2015-05-07,213.0
2015-05-11,215.0
2015-05-12,208.4
2015-05-13,188.5
2015-05-14,175.0
2015-05-15,180.0
2015-05-18,181.05
2015-05-19,185.25
2015-05-20,179.3
2015-05-21,171.5
2015-05-22,173.2
2015-05-25,175.1
2015-05-26,183.0
2015-05-27,177.6
2015-05-28,177.6
2015-05-29,177.6
2015-06-01,69.2
2015-06-02,71.0
2015-06-03,75.95
2015-06-04,78.8
2015-06-05,81.35
2015-06-08,83.05
2015-06-09,87.05
2015-06-10,88.0
2015-06-11,90.5
2015-06-12,90.1
2015-06-15,94.55
2015-06-16,96.0
2015-06-17,97.0
2015-06-18,96.0
2015-06-19,94.5
2015-06-22,97.0
2015-06-23,97.6
2015-06-24,98.3
2015-06-25,101.6
2015-06-26,99.5
2015-06-29,98.5
2015-06-30,97.5
2015-07-01,100.2
2015-07-02,101.4
2015-07-03,101.0
2015-07-07,101.5
2015-07-08,101.4
2015-07-09,100.9
2015-07-10,100.65
2015-07-13,101.65
2015-07-14,102.3
2015-07-15,104.05
2015-07-16,112.5
2015-07-17,125.95
2015-07-20,126.3
2015-07-21,128.55
2015-07-22,122.4
2015-07-23,120.15
2015-07-24,129.3
2015-07-27,137.6
2015-07-28,140.6
2015-07-29,140.3
2015-07-30,144.65
2015-07-31,143.6
2015-08-03,145.3
2015-08-04,145.75
2015-08-05,146.0
2015-08-06,145.15
2015-08-07,143.5
2015-08-10,144.1
2015-08-11,145.15
2015-08-12,150.0
2015-08-13,162.8
