date,adj_close
2015-01-02,275.0009460449219
2015-01-05,269.7482604980469
2015-01-06,270.53851318359375
2015-01-07,268.2142639160156
2015-01-08,265.89007568359375
2015-01-09,265.89007568359375
2015-01-12,265.4252014160156
2015-01-13,272.537353515625
2015-01-14,276.1631164550781
2015-01-15,271.0963134765625
2015-01-16,268.67913818359375
2015-01-19,268.12127685546875
2015-01-20,268.4466857910156
2015-01-21,272.3978576660156
2015-01-22,269.4228515625
2015-01-23,269.14398193359375
2015-01-26,270.2595520019531
2015-01-27,273.79241943359375
2015-01-28,271.46820068359375
2015-01-29,270.95684814453125
2015-01-30,267.74945068359375
2015-02-02,271.93304443359375
2015-02-03,273.69940185546875
2015-02-04,275.18695068359375
2015-02-05,272.8162536621094
2015-02-06,274.7685546875
2015-02-09,272.4443359375
2015-02-10,271.93304443359375
2015-02-11,273.2810974121094
2015-02-12,273.93182373046875
2015-02-13,274.2572021484375
2015-02-16,274.3502197265625
2015-02-17,275.8841857910156
2015-02-18,274.7220153808594
2015-02-19,273.32757568359375
2015-02-20,274.2572021484375
2015-02-23,274.2572021484375
2015-02-24,277.51116943359375
2015-02-25,288.3419494628906
2015-02-26,287.0404052734375
2015-02-27,288.7138366699219
2015-03-02,292.8509521484375
2015-03-03,289.5970458984375
2015-03-04,295.0821838378906
2015-03-05,294.7103271484375
2015-03-06,292.8509521484375
2015-03-09,286.8079528808594
2015-03-10,284.29779052734375
2015-03-11,284.4837951660156
2015-03-12,285.4134826660156
2015-03-13,283.0892639160156
2015-03-16,284.0189208984375
2015-03-17,286.5755310058594
2015-03-18,291.27044677734375
2015-03-19,291.8282775878906
2015-03-20,293.5946960449219
2015-03-23,293.5946960449219
2015-03-24,297.5458984375
2015-03-25,294.2454833984375
2015-03-26,290.9915771484375
2015-03-27,289.5970458984375
2015-03-30,290.5732421875
2015-03-31,291.6888122558594
2015-04-01,295.8724365234375
2015-04-02,297.4064025878906
2015-04-07,293.8271179199219
2015-04-08,293.7806091308594
2015-04-09,298.38262939453125
2015-04-10,298.5220031738281
2015-04-13,302.70562744140625
2015-04-14,303.6817932128906
2015-04-15,304.7044677734375
2015-04-16,305.8665466308594
2015-04-17,302.1477966308594
2015-04-20,302.3802185058594
2015-04-21,305.72711181640625
2015-04-22,304.7044677734375
2015-04-23,304.05364990234375
2015-04-24,305.7735595703125
2015-04-27,302.3802185058594
2015-04-28,298.1966857910156
2015-04-29,296.1048583984375
2015-04-30,295.4075927734375
2015-05-04,295.4075927734375
2015-05-05,295.8724365234375
2015-05-06,296.5697021484375
2015-05-07,295.6400146484375
2015-05-11,299.26580810546875
2015-05-12,297.4993896484375
2015-05-13,296.38372802734375
2015-05-14,293.50177001953125
