date,ALE.WA,CDR.WA,CEZ.PR,COLT.PR,EBS.VI,KGH.WA,KOMB.PR,LPP.WA,MOL.BD,MONET.PR,O2CR.PR,OMV.VI,OTP.BD,PEO.WA,PKN.WA,PKO.WA,PZU.WA,RBI.VI,RICHTER.BD,TABAK.PR,VER.VI,VIG.PR,ALE.WA_ret_eur,CDR.WA_ret_eur,CEZ.PR_ret_eur,COLT.PR_ret_eur,EBS.VI_ret_eur,KGH.WA_ret_eur,KOMB.PR_ret_eur,LPP.WA_ret_eur,MOL.BD_ret_eur,MONET.PR_ret_eur,O2CR.PR_ret_eur,OMV.VI_ret_eur,OTP.BD_ret_eur,PEO.WA_ret_eur,PKN.WA_ret_eur,PKO.WA_ret_eur,PZU.WA_ret_eur,RBI.VI_ret_eur,RICHTER.BD_ret_eur,TABAK.PR_ret_eur,VER.VI_ret_eur,VIG.PR_ret_eur,CZK_EUR,PLN_EUR,HUF_EUR,USD_EUR,ATX,BUX,GDAXI,GSPC,PX,STOXX50E,WIG20,rf_pribor_3m_pct,rf_ester_pct,rf_cz_10y_gov_pct
2015-01-01,,15.46507167816162,,,,95.33230590820312,,5762.58349609375,772.4553833007812,,,,2884.8125,84.04913330078125,28.11147689819336,26.43725204467773,23.757583618164062,,2538.075927734375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2309.39,0.05,,0.349878603646415
2015-01-02,,15.557674407958984,275.0009460449219,,13.414371490478516,95.41988372802734,451.2385864257813,5822.64306640625,772.4553833007812,,235.1,10.414843559265137,2884.8125,83.76691436767578,27.898855209350582,26.415075302124023,23.562047958374023,8.333942413330078,2538.075927734375,4642.04345703125,11.041970252990724,1023.5052490234376,,0.005970006947664986,,,,0.0009182366519065889,,0.010368395998018708,0.0,,,,0.0,-0.003363435178949504,-0.007592267432770242,-0.0008391964921313712,-0.00826450951676569,,0.0,,,,27.693,4.3053,318.75,1.2043,2191.06005859375,,9764.73046875,2058.199951171875,962.13,,,0.05,,0.3513798438696799
2015-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,0.3528810840929448
2015-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2264.75,0.05,,0.3543823243162097
2015-01-05,,15.39098834991455,269.7482604980469,,12.956680297851562,93.27413940429688,439.5966796875,5703.1630859375,756.0629272460938,,224.3,9.76244831085205,2846.20654296875,81.79150390625,27.439144134521484,25.92713928222656,23.122093200683597,7.6954026222229,2522.998291015625,4633.4228515625,10.602022171020508,1016.6357421875,,-0.010771881881194337,-0.019285382277279495,,-0.0347151232748114,-0.02274408892900651,-0.026138546618168168,-0.020733345493837353,-0.021449641045475476,,-0.04702651401986108,-0.06468883339751673,-0.01347283640513207,-0.023864738924922996,-0.016615044124207026,-0.018644612515833794,-0.01884870416595177,-0.07971353463064605,-0.005958292913040549,-0.0018587977496876272,-0.040658736096219485,-0.006734370641562776,27.676,4.2979,318.32,1.1915,2128.679931640625,16414.80078125,9473.16015625,2020.5799560546875,942.6,3023.139892578125,,0.05,,0.3558835645394746
2015-01-06,,15.39098834991455,270.5385131835937,,,93.27413940429688,433.0772399902344,5703.1630859375,760.0774536132812,,227.0,,2770.509521484375,81.79150390625,27.439144134521484,25.92713928222656,23.122093200683597,,2455.5078125,4654.9736328125,,1010.748046875,,0.0,0.0029253103632605913,,,0.0,-0.014941574026434253,0.0,0.005295730923164155,,0.011965575955239885,,-0.026955824050421878,0.0,0.0,0.0,0.0,,-0.02711440417150244,0.004640374677687031,,-0.005808186783434136,27.695,4.3075,319.32,1.1914,,16173.6103515625,9469.66015625,2002.6099853515625,939.83,,2307.46,0.05,,0.3573848047627395
2015-01-07,,15.594717025756836,268.2142639160156,,12.956680297851562,97.74079895019533,430.7488403320313,5655.37109375,768.4409790039062,,223.5,10.051098823547363,2732.661376953125,82.49701690673828,28.69761276245117,26.02324676513672,23.610933303833008,7.563745498657227,2461.969970703125,4655.83544921875,11.171791076660156,998.9722290039062,,0.013150038648705693,-0.008628312598859994,,0.0,0.04677617341848379,-0.005390912245471798,-0.008415218630715744,0.010943419037505802,,-0.01553860342777916,0.029138743715984548,-0.01375524837901117,0.008588759993024482,0.04484332835897754,0.0036999760680782438,0.020921304270951378,-0.01725658466443474,0.002628242447810512,0.00018512170126529028,0.05234719351232168,-0.011718996699528377,27.783,4.3108,319.53,1.1831,2138.39990234375,16191.3701171875,9518.1796875,2025.9000244140625,933.32,3026.7900390625,2361.48,0.05,,0.3588860449860044
2015-01-08,,15.576196670532228,265.8900756835937,,13.232641220092772,99.79895782470705,435.8712463378906,5862.50830078125,782.8262329101562,,229.0,10.267001152038574,2819.712890625,84.1431884765625,29.4791259765625,27.043481826782227,23.757583618164062,7.573619842529297,2459.097900390625,4680.83447265625,11.362914085388184,1018.5984497070312,,-0.0011883102038274143,-0.00870317925025397,,0.021075088653628084,0.02083867457631566,0.011821709975122406,0.03597182003091172,0.018546986824133523,,0.024310589500616056,0.021253016319997854,0.031359070252758525,0.019757838359845695,0.026868478570801397,0.03845576377061969,0.006191909411766245,0.0013046319554390713,-0.0011672550405029934,0.005355032016072526,0.0169629547111478,0.019455912998009656,27.865,4.2902,317.05,1.1768,2169.919921875,16441.6796875,9837.6103515625,2062.139892578125,946.64,3135.080078125,2337.21,0.05,,0.3603872852092693
2015-01-09,,15.603979110717772,265.8900756835937,,12.92302703857422,97.2153091430664,432.6114807128906,5862.50830078125,778.1426391601562,,231.0,10.152008056640623,2762.940185546875,83.0143814086914,29.461883544921875,26.725584030151367,23.562047958374023,7.3662567138671875,2412.42919921875,4633.4228515625,11.179004669189451,1026.4488525390625,,0.0017820584292354408,0.0,,-0.02367583508470236,-0.02622954008847217,-0.007506841141435273,0.0,-0.006000898401989339,,0.008695706967553913,-0.011263456511633824,-0.02033967059725554,-0.013506109569214764,-0.0005850742046146244,-0.011824698669674834,-0.00826450951676569,-0.027761467183335505,-0.019160369206211763,-0.010180528395024934,-0.01631746603487994,0.0076775157080345045,28.062,4.2699,317.39,1.1813,2147.919921875,16222.75,9648.5,2044.81005859375,946.36,3042.89990234375,,0.05,,0.3618885254325342
2015-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,0.3633897656557991
2015-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2330.04,0.05,,0.36489100587906403
